Warehouse	Query	Time	Cost	Log Time	Log Time Bin	Time Bin	Cents	Log Cents	Log Cents Bin	Cents Bin
BigQuery	query/query47.sql	5.704	0.04053592682	2.511973982	3	8	4.053592682	2.019201129	3	8
BigQuery	query/query48.sql	6.461	0.07036685944	2.691757475	3	8	7.036685944	2.814896125	3	8
BigQuery	query/query49.sql	4.791	0.1152706146	2.260326813	3	8	11.52706146	3.526952876	4	16
BigQuery	query/query5.sql	5.459	0.08400917053	2.448636697	3	8	8.400917053	3.070546823	4	16
BigQuery	query/query50.sql	6.598	0.05509853363	2.722028778	3	8	5.509853363	2.462013924	3	8
BigQuery	query/query51.sql	12.989	0.03835678101	3.699218459	4	16	3.835678101	1.939481651	2	4
BigQuery	query/query52.sql	2.162	0.03053665161	1.112366523	2	4	3.053665161	1.610541877	2	4
BigQuery	query/query53.sql	2.95	0.04055500031	1.560714954	2	4	4.055500031	2.019879805	3	8
BigQuery	query/query54.sql	7.22	0.0538444519	2.851998837	3	8	5.38444519	2.428797698	3	8
BigQuery	query/query55.sql	2.329	0.03053665161	1.21971064	2	4	3.053665161	1.610541877	2	4
BigQuery	query/query56.sql	3.551	0.07195949554	1.82822536	2	4	7.195949554	2.847185073	3	8
BigQuery	query/query57.sql	6.149	0.02091884613	2.620351807	3	8	2.091884613	1.064803276	2	4
BigQuery	query/query58.sql	3.676	0.05404472351	1.878136767	2	4	5.404472351	2.434153772	3	8
BigQuery	query/query59.sql	5.328	0.03003120422	2.413594082	3	8	3.003120422	1.586462327	2	4
BigQuery	query/query6.sql	45.819	0.0307226181	5.517874067	6	64	3.07226181	1.619301164	2	4
BigQuery	query/query60.sql	4.438	0.07195949554	2.149909668	3	8	7.195949554	2.847185073	3	8
BigQuery	query/query61.sql	5.184	0.06074905396	2.374065718	3	8	6.074905396	2.602861942	3	8
BigQuery	query/query62.sql	2.351	0.01310348511	1.233274539	2	4	1.310348511	0.3899505735	1	2
BigQuery	query/query63.sql	2.747	0.04055500031	1.45785691	2	4	4.055500031	2.019879805	3	8
BigQuery	query/query64.sql	31.375	0.1421499252	4.971543554	5	32	14.21499252	3.829341435	4	16
BigQuery	query/query65.sql	8.905	0.04063606262	3.154615611	4	16	4.063606262	2.022760621	3	8
BigQuery	query/query66.sql	3.083	0.05483627319	1.624334889	2	4	5.483627319	2.455130525	3	8
BigQuery	query/query67.sql	17.084	0.05057811737	4.094573898	5	32	5.057811737	2.338513338	3	8
BigQuery	query/query68.sql	6.517	0.09090900421	2.704207995	3	8	9.090900421	3.184423195	4	16
